strategy,family,ticker,start_date,end_date,initial_cash_brl,final_equity_brl,final_profit_brl,final_return_pct,completed_trades,max_trade_gain_pct,max_trade_loss_pct
donchian_breakout_10_5,rompimento,GGBR4,2000-01-03,2026-09-10,1000.0,2132.9265,1132.9265,113.2926,166,50.0,-17.4573
donchian_breakout_10_5,rompimento,GOAU4,2000-01-03,2026-09-10,1000.0,963.4786,-36.5214,-3.6521,176,57.8948,-77.8505
donchian_breakout_10_5,rompimento,HYPE3,2008-04-18,2026-09-10,1000.0,4221.3773,3221.3773,322.1377,111,39.3808,-19.9857
donchian_breakout_10_5,rompimento,ITSA4,2000-01-03,2026-09-10,1000.0,1865.1623,865.1623,86.5162,178,22.7582,-19.8925
donchian_breakout_10_5,rompimento,ITUB4,2000-12-21,2026-09-10,1000.0,1098.6087,98.6087,9.8609,182,31.9304,-21.6187
donchian_breakout_10_5,rompimento,KLBN11,2014-01-23,2026-09-10,1000.0,710.7132,-289.2868,-28.9287,82,21.2544,-25.0679
donchian_breakout_10_5,rompimento,LREN3,2000-01-04,2026-09-10,1000.0,1422.1415,422.1415,42.2142,147,36.8341,-15.6285
donchian_breakout_10_5,rompimento,MGLU3,2011-05-02,2026-09-10,1000.0,15414.9421,14414.9421,1441.4942,99,116.2545,-24.4737
donchian_breakout_10_5,rompimento,MULT3,2007-07-27,2026-09-10,1000.0,372.7792,-627.2208,-62.7221,130,25.9259,-17.7797
donchian_breakout_10_5,rompimento,PETR4,2000-01-03,2026-09-10,1000.0,4085.1169,3085.1169,308.5117,197,51.6427,-25.6642
donchian_breakout_10_5,rompimento,PSSA3,2004-11-22,2026-09-10,1000.0,5748.0822,4748.0822,474.8082,136,37.7878,-16.6038
donchian_breakout_10_5,rompimento,RADL3,2000-01-06,2026-09-10,1000.0,56364.5546,55364.5546,5536.4555,134,1194.0769,-16.1616
donchian_breakout_10_5,rompimento,RAIL3,2015-04-02,2026-09-10,1000.0,894.0391,-105.9609,-10.5961,69,37.013,-12.7126
donchian_breakout_10_5,rompimento,RENT3,2005-05-23,2026-09-10,1000.0,4010.7137,3010.7137,301.0714,136,55.8219,-15.6098
donchian_breakout_10_5,rompimento,SANB11,2009-10-07,2026-09-10,1000.0,1767.4339,767.4339,76.7434,104,42.3315,-10.9008
donchian_breakout_10_5,rompimento,SBSP3,2000-01-03,2026-09-10,1000.0,3308.8377,2308.8377,230.8838,167,44.6517,-13.4298
donchian_breakout_10_5,rompimento,SMTO3,2007-02-12,2026-09-10,1000.0,3002.3497,2002.3497,200.235,118,37.7319,-15.4095
donchian_breakout_10_5,rompimento,SUZB3,2004-08-05,2026-09-10,1000.0,247.77,-752.23,-75.223,60,73.4066,-85.7143
donchian_breakout_10_5,rompimento,TOTS3,2006-03-09,2026-09-10,1000.0,1385.0043,385.0043,38.5004,129,32.6667,-12.7869
donchian_breakout_10_5,rompimento,UGPA3,2002-12-11,2026-09-10,1000.0,4049.4846,3049.4846,304.9485,92,54.1053,-12.7443
donchian_breakout_10_5,rompimento,USIM5,2000-01-03,2026-09-10,1000.0,41298.4869,40298.4869,4029.8487,166,56.3559,-15.7407
donchian_breakout_10_5,rompimento,VALE3,2000-01-03,2026-09-10,1000.0,1597.1967,597.1967,59.7197,191,54.5854,-23.4697
donchian_breakout_10_5,rompimento,WEGE3,2000-01-03,2026-09-10,1000.0,110134.7606,109134.7606,10913.4761,120,161.1112,-10.7146
donchian_breakout_20_10,rompimento,ABEV3,2000-01-05,2026-09-10,1000.0,5129.4269,4129.4269,412.9427,116,50.505,-12.5385
donchian_breakout_20_10,rompimento,B3SA3,2007-10-26,2026-09-10,1000.0,1870.6078,870.6078,87.0608,68,53.4722,-17.586
donchian_breakout_20_10,rompimento,BBAS3,2000-01-03,2026-09-10,1000.0,16039.4406,15039.4406,1503.9441,103,47.7,-18.7692
donchian_breakout_20_10,rompimento,BBDC4,2008-01-02,2026-09-10,1000.0,546.1248,-453.8752,-45.3875,79,32.1845,-23.6717
donchian_breakout_20_10,rompimento,BBSE3,2013-04-29,2026-09-10,1000.0,1449.4095,449.4095,44.941,47,30.6651,-14.0883
donchian_breakout_20_10,rompimento,BPAC11,2017-02-24,2026-09-10,1000.0,9852.0109,8852.0109,885.2011,30,157.8381,-11.0283
